Date : 2023-02-20 20:26:17
Directory : g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts
Total : 72 files,  1854 codes, 305 comments, 374 blanks, all 2533 lines

Languages
+----------------------------------------+------------+------------+------------+------------+------------+
| language                               | files      | code       | comment    | blank      | total      |
+----------------------------------------+------------+------------+------------+------------+------------+
| GameMaker Language(GameMaker Studio 2) |         35 |      1,410 |        305 |        374 |      2,089 |
| GameMaker Studio 2 YY Config           |         37 |        444 |          0 |          0 |        444 |
+----------------------------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |         72 |      1,854 |        305 |        374 |      2,533 |
| DrawCollisionBox                                                                                                                 |          2 |         15 |          0 |          0 |         15 |
| gradually_turn                                                                                                                   |          2 |         41 |         14 |          7 |         62 |
| instance_nth_nearest                                                                                                             |          2 |         32 |         15 |          9 |         56 |
| scr_Actions                                                                                                                      |          2 |         47 |         11 |         10 |         68 |
| scr_ApplyOption                                                                                                                  |          2 |        100 |          8 |         32 |        140 |
| scr_AsteroidPositions                                                                                                            |          2 |         34 |         10 |          8 |         52 |
| scr_Bars                                                                                                                         |          2 |         26 |          6 |          5 |         37 |
| scr_ButtonPress                                                                                                                  |          2 |         22 |          6 |          1 |         29 |
| scr_ClientPacket                                                                                                                 |          2 |        313 |         67 |         91 |        471 |
| scr_CreateBigBullet                                                                                                              |          3 |         35 |          3 |          1 |         39 |
| scr_CreateBullet                                                                                                                 |          2 |         30 |          3 |          3 |         36 |
| scr_Death                                                                                                                        |          2 |         99 |         12 |         21 |        132 |
| scr_EventCleanup                                                                                                                 |          2 |         27 |          1 |          4 |         32 |
| scr_EventCreate                                                                                                                  |          2 |         24 |          2 |          1 |         27 |
| scr_FocusLayer                                                                                                                   |          2 |         24 |          4 |          5 |         33 |
| scr_GUIScripts                                                                                                                   |          2 |         25 |          0 |          2 |         27 |
| scr_GenerateAmmoPack                                                                                                             |          2 |         16 |          0 |          0 |         16 |
| scr_GetColour                                                                                                                    |          2 |         20 |          1 |          0 |         21 |
| scr_GetSecondary                                                                                                                 |          2 |         42 |          1 |          1 |         44 |
| scr_GetSecondaryObject                                                                                                           |          3 |         54 |          1 |          1 |         56 |
| scr_GlobalReset                                                                                                                  |          2 |         21 |          5 |          0 |         26 |
| scr_HomingBullet                                                                                                                 |          2 |         22 |          3 |          1 |         26 |
| scr_ObjectCollision                                                                                                              |          2 |         47 |         13 |         10 |         70 |
| scr_ObjectMeeting                                                                                                                |          2 |         21 |          4 |          3 |         28 |
| scr_ParticleTypes                                                                                                                |          2 |         80 |          5 |         14 |         99 |
| scr_PlayerChildrenCleanup                                                                                                        |          2 |         44 |          2 |          0 |         46 |
| scr_PlayerReset                                                                                                                  |          2 |         30 |          1 |          1 |         32 |
| scr_RotatePoint                                                                                                                  |          2 |         21 |          5 |          5 |         31 |
| scr_SaveLoad                                                                                                                     |          2 |         33 |          6 |          8 |         47 |
| scr_Secondaries                                                                                                                  |          2 |         38 |         11 |          8 |         57 |
| scr_ServerPacket                                                                                                                 |          2 |        303 |         58 |        104 |        465 |
| scr_StartEvent                                                                                                                   |          2 |         47 |          3 |          2 |         52 |
| scr_TextEntry                                                                                                                    |          2 |         41 |          8 |          5 |         54 |
| scr_WallCollision                                                                                                                |          2 |         54 |         15 |          4 |         73 |
| sqLogo_Events                                                                                                                    |          2 |         26 |          1 |          7 |         34 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------+------------+------------+------------+------------+
| filename                                                                                                                         | language                               | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------+------------+------------+------------+------------+
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\DrawCollisionBox\DrawCollisionBox.gml                   | GameMaker Language(GameMaker Studio 2) |          3 |          0 |          0 |          3 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\DrawCollisionBox\DrawCollisionBox.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\gradually_turn\gradually_turn.gml                       | GameMaker Language(GameMaker Studio 2) |         29 |         14 |          7 |         50 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\gradually_turn\gradually_turn.yy                        | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\instance_nth_nearest\instance_nth_nearest.gml           | GameMaker Language(GameMaker Studio 2) |         20 |         15 |          9 |         44 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\instance_nth_nearest\instance_nth_nearest.yy            | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Actions\scr_Actions.gml                             | GameMaker Language(GameMaker Studio 2) |         35 |         11 |         10 |         56 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Actions\scr_Actions.yy                              | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ApplyOption\scr_ApplyOption.gml                     | GameMaker Language(GameMaker Studio 2) |         88 |          8 |         32 |        128 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ApplyOption\scr_ApplyOption.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_AsteroidPositions\scr_AsteroidPositions.gml         | GameMaker Language(GameMaker Studio 2) |         22 |         10 |          8 |         40 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_AsteroidPositions\scr_AsteroidPositions.yy          | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Bars\scr_Bars.gml                                   | GameMaker Language(GameMaker Studio 2) |         14 |          6 |          5 |         25 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Bars\scr_Bars.yy                                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ButtonPress\scr_ButtonPress.gml                     | GameMaker Language(GameMaker Studio 2) |         10 |          6 |          1 |         17 |
