"filename", "language", "GameMaker Language(GameMaker Studio 2)", "GameMaker Studio 2 YY Project Config", "GameMaker Studio 2 YY Config", "HLSL", "comment", "blank", "total"
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\Planetbattles.yyp", "GameMaker Studio 2 YY Project Config", 0, 364, 0, 0, 0, 0, 364
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization12\fnt_Nasalization.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 209, 0, 0, 0, 209
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization12\fnt_Nasalization12.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization18\fnt_Nasalization.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 209, 0, 0, 0, 209
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization18\fnt_Nasalization12.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization18\fnt_Nasalization18.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization18\fnt_Nasalization18.yy", "GameMaker Studio 2 YY Config", 0, 0, 1188, 0, 0, 0, 1188
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization24\fnt_Nasalization.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 209, 0, 0, 0, 209
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization24\fnt_Nasalization12.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization24\fnt_Nasalization24.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 1689, 0, 0, 0, 1689
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization24\fnt_Nasalization24.yy", "GameMaker Studio 2 YY Config", 0, 0, 1689, 0, 0, 0, 1689
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization36\fnt_Nasalization.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 209, 0, 0, 0, 209
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization36\fnt_Nasalization12.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization36\fnt_Nasalization24.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization36\fnt_Nasalization24.yy", "GameMaker Studio 2 YY Config", 0, 0, 1689, 0, 0, 0, 1689
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization36\fnt_Nasalization36.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 1689, 0, 0, 0, 1689
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization36\fnt_Nasalization36.yy", "GameMaker Studio 2 YY Config", 0, 0, 1788, 0, 0, 0, 1788
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 209, 0, 0, 0, 209
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization12.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization24.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 386, 0, 0, 0, 386
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization24.yy", "GameMaker Studio 2 YY Config", 0, 0, 1689, 0, 0, 0, 1689
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization36.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 1689, 0, 0, 0, 1689
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization36.yy", "GameMaker Studio 2 YY Config", 0, 0, 1788, 0, 0, 0, 1788
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization96.old.yy", "GameMaker Studio 2 YY Config", 0, 0, 1788, 0, 0, 0, 1788
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\fonts\fnt_Nasalization96\fnt_Nasalization96.yy", "GameMaker Studio 2 YY Config", 0, 0, 1939, 0, 0, 0, 1939
"g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\notes\JoiningOrder\JoiningOrder.yy", "GameMaker Studio 2 YY Config", 0, 0, 10, 0, 0, 0, 10
